iter	RMSE
0	14.85040259
1	13.97630574
2	13.28910948
3	12.75808011
4	12.32560116
5	11.95287196
6	11.66925644
7	11.41740399
8	11.19136142
9	11.02846912
10	10.85808083
11	10.6540065
12	10.51935297
13	10.41377518
14	10.30718439
15	10.18246093
16	10.09849839
17	10.00484223
18	9.93974009
19	9.881139384
20	9.786596693
21	9.71712525
22	9.670859314
23	9.603407725
24	9.529862414
25	9.476594931
26	9.4312956
27	9.379141716
28	9.350936199
29	9.311371177
30	9.265242217
31	9.195483255
32	9.168495139
33	9.117938005
34	9.086140796
35	9.06469542
36	9.027334369
37	8.997276262
38	8.95670077
39	8.899679484
40	8.866574458
41	8.841177333
42	8.828457778
43	8.805946593
44	8.784850799
45	8.761208169
46	8.739315797
47	8.724941139
48	8.698764288
49	8.669178713
50	8.642371839
51	8.621759422
52	8.597166558
53	8.567604888
54	8.553724704
55	8.533708328
56	8.523804623
57	8.501750089
58	8.463750596
59	8.438834906
60	8.412964847
61	8.386618831
62	8.365095264
63	8.352922524
64	8.33616419
65	8.323477684
66	8.302434769
67	8.283452593
68	8.25358684
69	8.233357424
70	8.213739556
71	8.195486762
72	8.181923227
73	8.168023804
74	8.155394162
75	8.143321027
76	8.131423124
77	8.113223349
78	8.10569308
79	8.091708452
80	8.059984755
81	8.054035157
82	8.043606782
83	8.031790007
84	8.009832573
85	7.987298461
86	7.964274194
87	7.938284126
88	7.931835166
89	7.902495997
90	7.887526623
91	7.873659688
92	7.846039436
93	7.833811283
94	7.81160195
95	7.796839663
96	7.784328109
97	7.776314894
98	7.760829646
99	7.732854107
100	7.717730775
101	7.703512867
102	7.697527053
103	7.685319456
104	7.67627726
105	7.659059358
106	7.649752469
107	7.642315265
108	7.632665582
109	7.617688261
110	7.606409252
111	7.589158265
112	7.583118313
113	7.570773103
114	7.555581111
115	7.545380628
116	7.537054692
117	7.529001373
118	7.518114449
119	7.505516297
120	7.494197988
121	7.482478262
122	7.467748627
123	7.438298949
124	7.430243993
125	7.417054005
126	7.412685612
127	7.405101444
128	7.393712382
129	7.381538966
130	7.369865926
131	7.361403816
132	7.352437723
133	7.347164824
134	7.337345518
135	7.334352241
136	7.322929078
137	7.314489439
138	7.305164377
139	7.294430727
140	7.285962718
141	7.272932791
142	7.265097106
143	7.261980627
144	7.247896981
145	7.241264979
146	7.229763065
147	7.221692589
148	7.218454862
149	7.210789449
150	7.203250136
151	7.189976568
152	7.179597769
153	7.170504248
154	7.150701045
155	7.145036567
156	7.14252918
157	7.13474635
158	7.129673146
159	7.119971586
160	7.111660729
161	7.097139777
162	7.087435074
163	7.076084338
164	7.066242087
165	7.061093064
166	7.049235912
167	7.03758645
168	7.031265896
169	7.021968452
170	7.008260893
171	7.000864908
172	6.995536032
173	6.990220726
174	6.986091794
175	6.975137914
176	6.972040498
177	6.963518297
178	6.954732969
179	6.949736015
180	6.936761207
181	6.932766954
182	6.926621217
183	6.920490073
184	6.915165167
185	6.911001728
186	6.905826006
187	6.899345313
188	6.88958955
189	6.883831685
190	6.878071242
191	6.86917601
192	6.859739881
193	6.852968986
194	6.843991523
195	6.838680543
196	6.830405097
197	6.823409579
198	6.819643593
199	6.815289061
200	6.809289325
201	6.805236078
202	6.803119043
203	6.797824823
204	6.790652384
205	6.782867787
206	6.77422989
207	6.771886708
208	6.762352928
209	6.755921165
210	6.750903936
211	6.744790949
212	6.740345423
213	6.734454528
214	6.730134541
215	6.72665448
216	6.720968064
217	6.718163741
218	6.715925574
219	6.710476487
220	6.706552925
221	6.70359101
222	6.696871485
223	6.692016534
224	6.688212607
225	6.682368758
226	6.677155773
227	6.672813376
228	6.669143889
229	6.661757712
230	6.656933872
231	6.653250991
232	6.651553131
233	6.645969832
234	6.639723642
235	6.637140009
236	6.634551095
237	6.627737068
238	6.62311109
239	6.618047923
240	6.612599481
241	6.607013785
242	6.602980195
243	6.593338852
244	6.589196774
245	6.585661052
246	6.577423201
247	6.570027382
248	6.56451215
249	6.559465883
250	6.554349686
251	6.548415699
252	6.5440179
253	6.539873037
254	6.534328136
255	6.531697509
256	6.528783067
257	6.524861417
258	6.52064913
259	6.519375175
260	6.517002611
261	6.512724267
262	6.5095135
263	6.505209038
264	6.501229161
265	6.497724234
266	6.491581509
267	6.488573763
268	6.48640927
269	6.482720425
270	6.47848975
271	6.47492355
272	6.473284387
273	6.469948925
274	6.465349563
275	6.460860956
276	6.456920137
277	6.453318228
278	6.447995051
279	6.44350037
280	6.442019204
281	6.440721642
282	6.436327497
283	6.429577191
284	6.425301764
285	6.419406379
286	6.413731586
287	6.409892695
288	6.404585762
289	6.402010572
290	6.396033208
291	6.389114894
292	6.386457195
293	6.379774912
294	6.37714303
295	6.374145049
296	6.37092213
297	6.36790934
298	6.363414342
299	6.359184742
300	6.356425964
301	6.352685902
302	6.35007565
303	6.346461651
304	6.341595051
305	6.336759321
306	6.333813235
307	6.332360985
308	6.328521057
309	6.321840939
310	6.319938163
311	6.316976936
312	6.313609887
313	6.310541489
314	6.305711372
315	6.302358418
316	6.298607571
317	6.296340496
318	6.290304731
319	6.285758209
320	6.284110858
321	6.281683587
322	6.276730432
323	6.275425335
324	6.273558972
325	6.267525962
326	6.264361188
327	6.260322643
328	6.258073818
329	6.256026438
330	6.252955449
331	6.24930622
332	6.244044255
333	6.239035371
334	6.237188107
335	6.235058339
336	6.232329892
337	6.227956483
338	6.225111131
339	6.223435334
340	6.220771046
341	6.21692046
342	6.21440324
343	6.211027463
344	6.208876022
345	6.206105029
346	6.202352496
347	6.19969405
348	6.197394533
349	6.193292033
350	6.191675872
351	6.188329022
352	6.186082036
353	6.183290493
354	6.181562673
355	6.179695473
356	6.177356116
357	6.175078718
358	6.171452849
359	6.170404262
360	6.168001192
361	6.166122141
362	6.163992872
363	6.162716135
364	6.160167395
365	6.157807711
366	6.155912473
367	6.153489319
368	6.150769386
369	6.148802473
370	6.145768039
371	6.143919463
372	6.141830611
373	6.140406032
374	6.137548323
375	6.13528654
376	6.132819199
377	6.129533629
378	6.128420436
379	6.126265367
380	6.12530695
381	6.123264186
382	6.120897455
383	6.119441149
384	6.113663275
385	6.111586232
386	6.108848828
387	6.105886421
388	6.104623101
389	6.100532503
390	6.097393771
391	6.095212746
392	6.090826505
393	6.088714361
394	6.087145545
395	6.085521239
396	6.082848747
397	6.081218223
398	6.080289059
399	6.078319343
400	6.076148888
401	6.072458435
402	6.070244562
403	6.067333624
404	6.065833154
405	6.063055125
406	6.061106443
407	6.059204247
408	6.055767078
409	6.051791298
410	6.049320008
411	6.04694583
412	6.04402633
413	6.041526848
414	6.039571184
415	6.03557086
416	6.034433685
417	6.032582003
418	6.030969209
419	6.028716558
420	6.02760168
421	6.024749513
422	6.023318677
423	6.021003395
424	6.018961202
425	6.017030796
426	6.013719182
427	6.011155004
428	6.009535653
429	6.007565608
430	6.005449878
431	6.002701808
432	6.000685353
433	5.998762563
434	5.998273149
435	5.99639633
436	5.994292178
437	5.992366815
438	5.988057869
439	5.985368082
440	5.984117559
441	5.982344811
442	5.980069544
443	5.978318717
444	5.976978153
445	5.975746567
446	5.974328185
447	5.972696488
448	5.97097553
449	5.969389303
450	5.967842756
451	5.966676485
452	5.965133362
453	5.963105542
454	5.961134039
455	5.958972897
456	5.956851673
457	5.953862632
458	5.952240405
459	5.948442806
460	5.946501068
461	5.944470206
462	5.942726738
463	5.940984671
464	5.940091623
465	5.938742209
466	5.935978606
467	5.934924291
468	5.933858993
469	5.932647064
470	5.930600142
471	5.928717436
472	5.925951781
473	5.924508116
474	5.922728051
475	5.920766362
476	5.919390744
477	5.918197387
478	5.915896751
479	5.9144841
480	5.913217559
481	5.91230541
482	5.910273826
