iter	Passed	Remaining
0	81	81162
1	156	78332
2	231	76944
3	306	76406
4	383	76317
5	460	76268
6	533	75695
7	607	75304
8	681	74990
9	758	75064
10	831	74751
11	912	75147
12	988	75034
13	1065	75071
14	1146	75283
15	1219	75025
16	1297	75008
17	1372	74879
18	1450	74877
19	1526	74791
20	1605	74840
21	1681	74764
22	1757	74655
23	1827	74309
24	1899	74081
25	1973	73924
26	2053	73985
27	2121	73629
28	2191	73364
29	2265	73241
30	2336	73035
31	2412	72992
32	2484	72814
33	2581	73341
34	2654	73198
35	2728	73061
36	2798	72836
37	2872	72707
38	2944	72557
39	3023	72564
40	3089	72271
41	3159	72056
42	3231	71925
43	3308	71876
44	3380	71735
45	3453	71613
46	3530	71588
47	3608	71573
48	3688	71587
49	3760	71447
50	3829	71258
51	3904	71180
52	3972	70988
53	4046	70880
54	4126	70904
55	4195	70720
56	4258	70459
57	4332	70364
58	4403	70239
59	4481	70211
60	4554	70102
61	4632	70089
62	4716	70148
63	4780	69920
64	4854	69829
65	4924	69694
66	4990	69495
67	5064	69413
68	5153	69531
69	5223	69395
70	5305	69415
71	5375	69282
72	5444	69135
73	5520	69080
74	5590	68949
75	5653	68732
76	5725	68631
77	5791	68462
78	5869	68423
79	5940	68317
80	6009	68177
81	6088	68164
82	6174	68222
83	6249	68149
84	6321	68052
85	6396	67979
86	6463	67827
87	6546	67847
88	6609	67653
89	6686	67611
90	6756	67493
91	6831	67424
92	6921	67506
93	6987	67349
94	7065	67308
95	7140	67238
96	7210	67124
97	7276	66975
98	7351	66907
99	7426	66835
100	7492	66692
101	7572	66666
102	7638	66523
103	7710	66427
104	7779	66309
105	7857	66269
106	7931	66191
107	7994	66032
108	8056	65858
109	8127	65759
110	8205	65714
111	8280	65649
112	8358	65608
113	8431	65528
114	8511	65501
115	8583	65411
116	8665	65395
117	8736	65301
118	8802	65170
119	8879	65115
120	8962	65104
121	9034	65020
122	9109	64951
123	9195	64961
124	9259	64815
125	9332	64736
126	9398	64604
127	9469	64513
128	9549	64474
129	9625	64419
130	9699	64340
131	9775	64282
132	9855	64249
133	9920	64114
134	9986	63989
135	10065	63948
136	10140	63876
137	10216	63813
138	10294	63769
139	10366	63677
140	10432	63557
141	10513	63526
142	10599	63524
143	10680	63491
144	10755	63420
145	10824	63317
146	10901	63256
147	10987	63253
148	11052	63125
149	11146	63164
150	11216	63067
151	11300	63046
152	11373	62963
153	11449	62899
154	11536	62890
155	11606	62794
156	11661	62614
157	11746	62600
158	11816	62499
159	11890	62424
160	11971	62387
161	12047	62320
162	12120	62236
163	12191	62144
164	12280	62147
165	12350	62051
166	12428	61994
167	12509	61950
168	12603	61974
169	12689	61955
170	12777	61943
171	12847	61845
172	12927	61796
173	12987	61654
174	13057	61555
175	13131	61480
176	13208	61417
177	13283	61343
178	13355	61254
179	13426	61167
180	13525	61199
181	13594	61100
182	13668	61024
183	13741	60942
184	13813	60855
185	13904	60848
186	13972	60747
187	14047	60673
188	14122	60598
189	14197	60528
190	14274	60459
191	14350	60392
192	14439	60375
193	14518	60321
194	14611	60319
195	14703	60313
196	14779	60242
197	14850	60151
198	14918	60050
199	14986	59946
200	15072	59914
201	15146	59838
202	15216	59741
203	15311	59745
204	15383	59659
205	15463	59601
206	15544	59548
207	15630	59517
208	15706	59442
209	15785	59382
210	15857	59295
211	15931	59218
212	16015	59175
213	16090	59098
214	16159	58999
215	16228	58905
216	16312	58858
217	16379	58754
218	16464	58716
219	16537	58632
220	16606	58536
221	16683	58465
222	16760	58397
223	16836	58325
224	16907	58235
225	16984	58169
226	17056	58083
227	17128	57996
228	17200	57911
229	17271	57821
230	17354	57773
231	17427	57690
232	17490	57576
233	17577	57538
234	17659	57487
235	17739	57428
236	17806	57326
237	17876	57234
238	17955	57172
239	18028	57091
240	18105	57022
241	18187	56966
242	18262	56890
243	18359	56883
244	18440	56826
245	18511	56737
246	18590	56673
247	18669	56611
248	18763	56592
249	18840	56522
250	18927	56482
251	18996	56386
252	19074	56319
253	19152	56250
254	19229	56178
255	19299	56089
256	19366	55989
257	19436	55898
258	19514	55830
259	19589	55755
260	19660	55666
261	19734	55589
262	19808	55508
263	19893	55461
264	19964	55374
265	20033	55279
266	20110	55209
267	20196	55162
268	20264	55067
269	20340	54993
270	20408	54900
271	20484	54824
272	20573	54786
273	20647	54708
274	20722	54631
275	20802	54569
276	20878	54494
277	20959	54435
278	21036	54362
279	21108	54279
280	21181	54196
281	21278	54177
282	21360	54117
283	21439	54051
284	21516	53979
285	21605	53937
286	21683	53868
287	21755	53784
288	21839	53730
289	21918	53661
290	21998	53597
291	22091	53565
292	22175	53507
293	22248	53425
294	22314	53328
295	22388	53249
296	22470	53187
297	22546	53112
298	22625	53045
299	22698	52962
300	22771	52880
301	22836	52780
302	22905	52690
303	22989	52633
304	23071	52572
305	23156	52517
306	23226	52430
307	23294	52335
308	23364	52248
309	23444	52183
310	23513	52093
311	23579	51996
312	23659	51929
313	23726	51834
314	23800	51756
315	23882	51695
316	23969	51644
317	24041	51561
318	24131	51516
319	24212	51450
320	24281	51362
321	24369	51311
322	24440	51225
323	24517	51153
324	24593	51078
325	24673	51011
326	24772	50984
327	24855	50922
328	24920	50826
329	24994	50747
330	25064	50659
331	25144	50590
332	25227	50530
333	25318	50485
334	25389	50399
335	25456	50306
336	25529	50224
337	25607	50154
338	25705	50122
339	25775	50034
340	25854	49964
341	25934	49897
342	26002	49806
343	26084	49743
344	26167	49679
345	26252	49622
346	26331	49551
347	26400	49463
348	26484	49402
349	26558	49323
350	26630	49239
351	26728	49204
352	26799	49120
353	26875	49043
354	26942	48951
355	27024	48886
356	27103	48816
357	27171	48726
358	27247	48651
359	27311	48553
360	27394	48489
361	27478	48429
362	27554	48353
363	27633	48282
364	27714	48215
365	27786	48133
366	27857	48047
367	27933	47973
368	28004	47888
369	28078	47809
370	28153	47732
371	28224	47647
372	28303	47576
373	28370	47485
374	28444	47407
375	28517	47327
376	28584	47235
377	28665	47169
378	28732	47078
379	28797	46985
380	28875	46912
381	28950	46836
382	29026	46760
383	29093	46671
384	29185	46621
385	29264	46549
386	29345	46482
387	29420	46404
388	29482	46307
389	29567	46245
390	29634	46157
391	29707	46077
392	29798	46025
393	29870	45943
394	29946	45867
395	30021	45789
396	30094	45709
397	30164	45625
398	30245	45558
399	30332	45499
400	30418	45438
401	30501	45372
402	30575	45294
403	30650	45216
404	30716	45127
405	30794	45053
406	30869	44976
407	30966	44931
408	31064	44887
409	31144	44817
410	31214	44733
411	31288	44654
412	31363	44577
413	31444	44508
414	31527	44442
415	31603	44365
416	31691	44306
417	31764	44226
418	31835	44144
419	31911	44067
420	31979	43981
421	32055	43905
422	32128	43825
423	32202	43746
424	32282	43675
425	32360	43603
426	32430	43518
427	32516	43456
428	32593	43381
429	32679	43319
430	32766	43257
431	32838	43176
432	32907	43091
433	32986	43019
434	33082	42969
435	33151	42883
436	33229	42810
437	33309	42739
438	33379	42655
439	33456	42580
440	33524	42494
441	33604	42423
442	33690	42360
443	33758	42274
444	33836	42200
445	33914	42126
446	33984	42043
447	34055	41960
448	34133	41888
449	34212	41815
450	34280	41729
451	34350	41646
452	34429	41573
453	34514	41508
454	34590	41432
455	34674	41365
456	34749	41288
457	34833	41222
458	34911	41148
459	34977	41060
460	35055	40986
461	35140	40921
462	35214	40842
463	35287	40763
464	35357	40680
465	35438	40610
466	35516	40536
467	35590	40457
468	35672	40388
469	35747	40311
470	35819	40230
471	35890	40148
472	35957	40063
473	36034	39987
474	36113	39915
475	36191	39841
476	36260	39756
477	36339	39685
478	36430	39625
479	36505	39547
480	36574	39464
481	36652	39389
482	36725	39311
483	36808	39242
484	36886	39167
485	36959	39088
486	37025	39002
487	37105	38930
488	37172	38844
489	37244	38764
490	37332	38700
491	37399	38616
492	37469	38533
493	37552	38464
494	37622	38382
495	37703	38311
496	37773	38229
497	37841	38145
498	37927	38079
499	38001	38001
500	38068	37916
501	38138	37834
502	38211	37755
503	38294	37687
504	38372	37612
505	38447	37536
506	38539	37475
507	38614	37397
508	38684	37316
509	38768	37248
510	38839	37167
511	38924	37099
512	38997	37020
513	39064	36936
514	39135	36855
515	39210	36779
516	39280	36697
517	39353	36618
518	39428	36541
519	39513	36474
520	39590	36399
521	39664	36321
522	39735	36240
523	39806	36160
524	39874	36077
525	39956	36006
526	40045	35941
527	40113	35859
528	40189	35782
529	40258	35700
530	40332	35623
531	40407	35546
532	40494	35480
533	40567	35401
534	40641	35323
535	40717	35248
536	40794	35173
537	40878	35103
538	40964	35036
539	41038	34958
540	41109	34878
541	41174	34793
542	41255	34721
543	41328	34642
544	41396	34560
545	41463	34476
546	41544	34405
547	41647	34351
548	41725	34277
549	41801	34201
550	41871	34120
551	41947	34044
552	42026	33971
553	42106	33897
554	42182	33822
555	42260	33747
556	42333	33669
557	42409	33592
558	42477	33510
559	42557	33437
560	42640	33367
561	42736	33306
562	42819	33236
563	42914	33174
564	42999	33105
565	43064	33021
566	43135	32941
567	43211	32864
568	43295	32794
569	43378	32724
570	43455	32648
571	43533	32573
572	43608	32496
573	43684	32421
574	43750	32337
575	43835	32267
576	43924	32201
577	44003	32127
578	44069	32043
579	44138	31962
580	44210	31883
581	44306	31821
582	44384	31746
583	44468	31676
584	44549	31603
585	44622	31525
586	44709	31456
587	44784	31379
588	44861	31303
589	44936	31227
590	45016	31153
591	45103	31084
592	45176	31006
593	45242	30923
594	45316	30845
595	45385	30764
596	45470	30694
597	45542	30615
598	45619	30539
599	45698	30465
600	45784	30396
601	45870	30326
602	45948	30251
603	46019	30171
604	46093	30094
605	46166	30016
606	46241	29938
607	46313	29860
608	46397	29789
609	46473	29712
610	46552	29638
611	46623	29558
612	46694	29479
613	46773	29404
614	46846	29326
615	46921	29249
616	46997	29173
617	47082	29103
618	47176	29037
619	47257	28964
620	47341	28893
621	47419	28817
622	47494	28740
623	47565	28661
624	47642	28585
625	47715	28507
626	47791	28430
627	47868	28355
628	47942	28277
629	48017	28200
630	48106	28132
631	48180	28054
632	48263	27982
633	48338	27905
634	48408	27825
635	48497	27756
636	48575	27681
637	48653	27605
638	48729	27529
639	48803	27452
640	48871	27371
641	48946	27294
642	49017	27214
643	49101	27142
644	49186	27071
645	49266	26997
646	49335	26917
647	49411	26840
648	49478	26759
649	49559	26685
650	49634	26608
651	49707	26530
652	49775	26450
653	49845	26370
654	49916	26291
655	49983	26210
656	50078	26144
657	50156	26068
658	50229	25991
659	50298	25911
660	50374	25835
661	50460	25763
662	50534	25686
663	50601	25605
664	50674	25527
665	50742	25447
666	50811	25367
667	50888	25291
668	50956	25211
669	51025	25131
670	51094	25052
671	51172	24977
672	51243	24898
673	51314	24819
674	51403	24749
675	51476	24672
676	51542	24591
677	51611	24511
678	51698	24440
679	51772	24363
680	51841	24284
681	51921	24209
682	51990	24130
683	52066	24054
684	52135	23974
685	52210	23898
686	52292	23824
687	52359	23744
688	52440	23670
689	52512	23592
690	52587	23516
691	52667	23441
692	52740	23363
693	52813	23286
694	52894	23212
695	52972	23137
696	53045	23060
697	53121	22983
698	53208	22912
699	53297	22841
700	53369	22764
701	53450	22689
702	53519	22610
703	53596	22534
704	53675	22459
705	53764	22389
706	53834	22310
707	53906	22232
708	53982	22156
709	54056	22079
710	54133	22003
711	54203	21924
712	54292	21854
713	54365	21776
714	54436	21698
715	54513	21622
716	54589	21546
717	54661	21468
718	54729	21389
719	54800	21311
720	54873	21234
721	54948	21157
722	55015	21077
723	55094	21002
724	55179	20930
725	55252	20852
726	55324	20775
727	55393	20696
728	55463	20618
729	55560	20549
730	55642	20475
731	55715	20398
732	55787	20320
733	55859	20243
734	55928	20164
735	55999	20086
736	56078	20011
737	56148	19933
738	56221	19856
739	56291	19777
740	56377	19705
741	56468	19634
742	56538	19556
743	56610	19478
744	56706	19409
745	56782	19333
746	56855	19256
747	56928	19179
748	56996	19100
749	57068	19022
750	57153	18949
751	57255	18882
752	57332	18806
753	57405	18729
754	57474	18650
755	57545	18573
756	57623	18497
757	57695	18420
758	57772	18344
759	57848	18267
760	57931	18193
761	58010	18118
762	58092	18044
763	58174	17970
764	58267	17899
765	58359	17827
766	58426	17748
767	58505	17673
768	58572	17594
769	58651	17519
770	58729	17443
771	58797	17365
772	58879	17290
773	58953	17213
774	59025	17136
775	59109	17062
776	59196	16989
777	59277	16914
778	59350	16837
779	59426	16761
780	59498	16683
781	59585	16610
782	59660	16534
783	59741	16459
784	59816	16382
785	59891	16306
786	59967	16230
787	60033	16151
788	60102	16072
789	60173	15995
790	60244	15917
791	60324	15842
792	60413	15769
793	60481	15691
794	60551	15613
795	60622	15536
796	60690	15458
797	60759	15380
798	60849	15307
799	60937	15234
800	61014	15158
801	61086	15081
802	61167	15006
803	61245	14930
804	61323	14854
805	61397	14777
806	61465	14699
807	61539	14623
808	61619	14547
809	61702	14473
810	61770	14395
811	61847	14319
812	61931	14245
